統編,年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
22099174,2028,92847.84,135.94,74010.14,153.88,18837.69,93.24,T
22099174,2029,94782.31,138.78,76137.6,158.3,18644.71,92.29,T
22099174,2030,96716.78,141.61,78265.06,162.73,18451.73,91.33,T
22099174,2031,98651.26,144.44,80392.51,167.15,18258.74,90.38,T
22099174,2032,100585.73,147.27,82519.97,171.57,18065.76,89.42,T
22099174,2033,102520.2,150.11,84647.43,176,17872.78,88.47,T
22099174,2034,104454.68,152.94,86774.88,180.42,17679.79,87.51,T
22099174,2035,106389.15,155.77,88902.34,184.84,17486.81,86.56,T
22099174,2036,108323.62,158.6,91029.8,189.27,17293.83,85.6,T
22099174,2037,110258.1,161.43,93157.25,193.69,17100.84,84.65,T
22099174,2038,112192.57,164.27,95284.71,198.11,16907.86,83.69,T
22099174,2039,114127.04,167.1,97412.17,202.54,16714.88,82.74,T
22099174,2040,116061.52,169.93,99539.62,206.96,16521.89,81.78,T
22099174,2041,117995.99,172.76,101667.08,211.38,16328.91,80.82,T
22099174,2042,119930.46,175.6,103794.54,215.81,16135.93,79.87,T
22099174,2043,121864.94,178.43,105921.99,220.23,15942.94,78.91,T
22099174,2044,123799.41,181.26,108049.45,224.65,15749.96,77.96,T
22099174,2045,125733.88,184.09,110176.91,229.08,15556.98,77,T
22099174,2046,127668.36,186.93,112304.36,233.5,15363.99,76.05,T
22099174,2047,129602.83,189.76,114431.82,237.92,15171.01,75.09,T
22099174,2048,131537.3,192.59,116559.28,242.35,14978.03,74.14,T
22099174,2049,133471.78,195.42,118686.73,246.77,14785.04,73.18,T
22099174,2050,135406.25,198.26,120814.19,251.19,14592.06,72.23,T
22099218,2020,327493.12,97.85,53271,81.02,274222.12,101.96,
22099218,2019,334696.3,100,65748.84,100,268947.46,100,
22099218,2018,330106.09,98.63,64510.06,98.12,265596.03,98.75,
22099218,2017,313177.12,93.57,62318.36,94.78,250858.76,93.27,
22099218,2016,269974.33,80.66,63672.64,96.84,206301.69,76.71,
22099218,2015,248436.75,74.23,47575.8,72.36,200860.95,74.68,
22099218,2014,219083.32,65.46,41374.24,62.93,177709.08,66.08,
22099218,2013,197693.53,59.07,34084.45,51.84,163609.08,60.83,
22099218,2021,332265.12,99.27,50255.21,76.44,282009.91,104.86,T
22099218,2022,337037.12,100.7,47239.43,71.85,289797.69,107.75,T
22099218,2023,341809.12,102.13,44223.64,67.26,297585.48,110.65,T
22099218,2024,346581.12,103.55,41207.85,62.67,305373.27,113.54,T
22099218,2025,351353.12,104.98,38192.07,58.09,313161.05,116.44,T
22099218,2026,356125.12,106.4,35176.28,53.5,320948.84,119.34,T
22099218,2027,360897.12,107.83,32160.49,48.91,328736.63,122.23,T
22099218,2028,365669.12,109.25,29144.71,44.33,336524.41,125.13,T
22099218,2029,370441.12,110.68,26128.92,39.74,344312.2,128.02,T
22099218,2030,375213.12,112.11,23113.13,35.15,352099.99,130.92,T
22099218,2031,379985.12,113.53,20097.35,30.57,359887.77,133.81,T
22099218,2032,384757.12,114.96,17081.56,25.98,367675.56,136.71,T
22099218,2033,389529.12,116.38,14065.77,21.39,375463.35,139.6,T
22099218,2034,394301.12,117.81,11049.99,16.81,383251.13,142.5,T
22099218,2035,399073.12,119.23,8034.2,12.22,391038.92,145.4,T
22099218,2036,403845.12,120.66,5018.41,7.63,398826.71,148.29,T
22099218,2037,408617.12,122.09,2002.63,3.05,406614.49,151.19,T
22099218,2038,413389.12,123.51,0,0,414402.28,154.08,T
22099218,2039,418161.12,124.94,0,0,422190.07,156.98,T
22099218,2040,422933.12,126.36,0,0,429977.85,159.87,T
22099218,2041,427705.12,127.79,0,0,437765.64,162.77,T
22099218,2042,432477.12,129.21,0,0,445553.43,165.67,T
22099218,2043,437249.12,130.64,0,0,453341.21,168.56,T
22099218,2044,442021.12,132.07,0,0,461129,171.46,T
22099218,2045,446793.12,133.49,0,0,468916.79,174.35,T
22099218,2046,451565.12,134.92,0,0,476704.57,177.25,T
22099218,2047,456337.12,136.34,0,0,484492.36,180.14,T
22099218,2048,461109.12,137.77,0,0,492280.15,183.04,T
22099218,2049,465881.12,139.2,0,0,500067.93,185.94,T
22099218,2050,470653.12,140.62,0,0,507855.72,188.83,T
22099548,2020,423041.14,107.33,174460.44,111.34,248580.7,104.68,
22099548,2019,394160.12,100,156694.45,100,237465.67,100,
22099548,2018,419026.1,106.31,172668.49,110.19,246357.61,103.74,
22099548,2017,432481.93,109.72,179330.25,114.45,253151.68,106.61,
22099548,2016,377078,95.67,143499.19,91.58,233578.81,98.36,
22099548,2015,401308.75,101.81,162584.33,103.76,238724.42,100.53,
22099548,2014,424096.9,107.6,180882.87,115.44,243214.03,102.42,
22099548,2013,444351.65,112.73,199135.15,127.09,245216.5,103.26,
22099548,2021,419894.21,106.53,172837.17,110.3,247057.04,104.04,T
22099548,2022,416747.28,105.73,171213.9,109.27,245533.38,103.4,T
22099548,2023,413600.35,104.93,169590.63,108.23,244009.72,102.76,T
22099548,2024,410453.42,104.13,167967.36,107.19,242486.06,102.11,T
22099548,2025,407306.49,103.34,166344.09,106.16,240962.4,101.47,T
22099548,2026,404159.56,102.54,164720.82,105.12,239438.74,100.83,T
22099548,2027,401012.63,101.74,163097.55,104.09,237915.08,100.19,T
22099548,2028,397865.7,100.94,161474.28,103.05,236391.42,99.55,T
22099548,2029,394718.77,100.14,159851.01,102.01,234867.76,98.91,T
22099548,2030,391571.84,99.34,158227.74,100.98,233344.1,98.26,T
22099548,2031,388424.91,98.54,156604.47,99.94,231820.44,97.62,T
22099548,2032,385277.98,97.75,154981.2,98.91,230296.78,96.98,T
22099548,2033,382131.05,96.95,153357.93,97.87,228773.12,96.34,T
22099548,2034,378984.12,96.15,151734.66,96.83,227249.46,95.7,T
22099548,2035,375837.19,95.35,150111.39,95.8,225725.8,95.06,T
22099548,2036,372690.26,94.55,148488.12,94.76,224202.14,94.41,T
22099548,2037,369543.33,93.75,146864.85,93.73,222678.48,93.77,T
22099548,2038,366396.4,92.96,145241.58,92.69,221154.82,93.13,T
22099548,2039,363249.47,92.16,143618.31,91.66,219631.16,92.49,T
22099548,2040,360102.54,91.36,141995.04,90.62,218107.5,91.85,T
22099548,2041,356955.61,90.56,140371.77,89.58,216583.84,91.21,T
22099548,2042,353808.68,89.76,138748.5,88.55,215060.18,90.56,T
22099548,2043,350661.75,88.96,137125.23,87.51,213536.52,89.92,T
22099548,2044,347514.82,88.17,135501.96,86.48,212012.86,89.28,T
22099548,2045,344367.89,87.37,133878.69,85.44,210489.2,88.64,T
22099548,2046,341220.96,86.57,132255.42,84.4,208965.54,88,T
22099548,2047,338074.03,85.77,130632.15,83.37,207441.88,87.36,T
22099548,2048,334927.1,84.97,129008.88,82.33,205918.22,86.71,T
22099548,2049,331780.17,84.17,127385.61,81.3,204394.56,86.07,T
22099548,2050,328633.24,83.38,125762.34,80.26,202870.9,85.43,T
22404266,2019,4288.22,100,125.59,100,4162.63,100,
22404266,2018,6511.19,151.84,105.56,84.05,6405.63,153.88,
22404266,2017,6630.57,154.62,484.41,385.71,6146.16,147.65,
22404266,2016,5618.38,131.02,250.67,199.59,5367.71,128.95,
22404266,2020,3844.83,89.66,83.9,66.8,3760.94,90.35,T
22404266,2021,3401.45,79.32,42.2,33.6,3359.24,80.7,T
22404266,2022,2958.06,68.98,0.51,0.41,2957.55,71.05,T
22404266,2023,2514.67,58.64,0,0,2555.86,61.4,T
22404266,2024,2071.29,48.3,0,0,2154.16,51.75,T
22404266,2025,1627.9,37.96,0,0,1752.47,42.1,T
22404266,2026,1184.51,27.62,0,0,1350.78,32.45,T
22404266,2027,741.13,17.28,0,0,949.08,22.8,T
22404266,2028,297.74,6.94,0,0,547.39,13.15,T
22404266,2029,0,0,0,0,145.7,3.5,T
22404266,2030,0,0,0,0,0,0,T
22404266,2031,0,0,0,0,0,0,T
22404266,2032,0,0,0,0,0,0,T
22404266,2033,0,0,0,0,0,0,T
22404266,2034,0,0,0,0,0,0,T
22404266,2035,0,0,0,0,0,0,T
22404266,2036,0,0,0,0,0,0,T
22404266,2037,0,0,0,0,0,0,T
22404266,2038,0,0,0,0,0,0,T
22404266,2039,0,0,0,0,0,0,T
22404266,2040,0,0,0,0,0,0,T
22404266,2041,0,0,0,0,0,0,T
22404266,2042,0,0,0,0,0,0,T
22404266,2043,0,0,0,0,0,0,T
22404266,2044,0,0,0,0,0,0,T
22404266,2045,0,0,0,0,0,0,T
22404266,2046,0,0,0,0,0,0,T
22404266,2047,0,0,0,0,0,0,T
22404266,2048,0,0,0,0,0,0,T
22404266,2049,0,0,0,0,0,0,T
22404266,2050,0,0,0,0,0,0,T
28112646,2020,72970.94,106.92,36151.61,116.15,36819.33,99.18,
28112646,2019,68246.97,100,31124.38,100,37122.59,100,
