統編,分類,子分類,項目,來自公司報告,單位,年份,數值
65534366,G,營運狀況,營業費用,,仟元,2020,1302903
65534366,G,營運狀況,淨利,,仟元,2020,249394
59661701,G,營運狀況,營業收入,,仟元,2020,8356125
59661701,G,營運狀況,營業成本,,仟元,2020,6715645
59661701,G,營運狀況,營業費用,,仟元,2020,1323957
59661701,G,營運狀況,淨利,,仟元,2020,851541
56192402,G,營運狀況,營業收入,,仟元,2020,12324165
56192402,G,營運狀況,營業成本,,仟元,2020,10974663
56192402,G,營運狀況,營業費用,,仟元,2020,1026574
56192402,G,營運狀況,淨利,,仟元,2020,565233
03543210,G,營運狀況,營業收入,,仟元,2020,2775071
03543210,G,營運狀況,營業成本,,仟元,2020,2328094
03543210,G,營運狀況,營業費用,,仟元,2020,228628
03543210,G,營運狀況,淨利,,仟元,2020,189740
22102298,G,營運狀況,營業收入,,仟元,2020,10213493
22102298,G,營運狀況,營業成本,,仟元,2020,9143081
22102298,G,營運狀況,營業費用,,仟元,2020,604893
22102298,G,營運狀況,淨利,,仟元,2020,417787
22102473,G,營運狀況,營業收入,,仟元,2020,34466244
22102473,G,營運狀況,營業成本,,仟元,2020,24856790
22102473,G,營運狀況,營業費用,,仟元,2020,5565275
22102473,G,營運狀況,淨利,,仟元,2020,3255830
11996904,G,營運狀況,營業收入,,仟元,2020,9544161
11996904,G,營運狀況,營業成本,,仟元,2020,7507842
11996904,G,營運狀況,營業費用,,仟元,2020,986257
11996904,G,營運狀況,淨利,,仟元,2020,3499454
07569627,G,營運狀況,營業收入,,仟元,2020,8817321
07569627,G,營運狀況,營業成本,,仟元,2020,6930265
07569627,G,營運狀況,營業費用,,仟元,2020,1147806
07569627,G,營運狀況,淨利,,仟元,2020,685698
20927014,G,營運狀況,營業收入,,仟元,2020,17440979
20927014,G,營運狀況,營業成本,,仟元,2020,14992999
20927014,G,營運狀況,營業費用,,仟元,2020,829844
20927014,G,營運狀況,淨利,,仟元,2020,1322623
18559415,G,營運狀況,營業收入,,仟元,2020,1906194
18559415,G,營運狀況,營業成本,,仟元,2020,810867
18559415,G,營運狀況,營業費用,,仟元,2020,1030345
18559415,G,營運狀況,淨利,,仟元,2020,57383
20651901,G,營運狀況,營業收入,,仟元,2020,9204945
20651901,G,營運狀況,營業成本,,仟元,2020,6569791
20651901,G,營運狀況,營業費用,,仟元,2020,2019618
20651901,G,營運狀況,淨利,,仟元,2020,890163
85617982,G,營運狀況,營業收入,,仟元,2020,78579
85617982,G,營運狀況,營業成本,,仟元,2020,42078
85617982,G,營運狀況,營業費用,,仟元,2020,18701
