year,stock_code,industry_category,nr_employee,em_salary_total,em_salary_avg,em_salary_med,eps,ind_avg_em_salary_avg,ind_avg_eps,note_a,note_b,note_c,notes
2023,1504,電機機械,2170.0,1997123.0,920.0,748.0,2.76,803.0,2.29,True,True,True,
2023,1506,電機機械,257.0,144405.0,562.0,508.0,0.29,803.0,2.29,True,True,True,
2023,1512,汽車工業,130.0,75988.0,585.0,503.0,0.04,882.0,6.4,True,True,True,
2023,1513,電機機械,1660.0,1505458.0,907.0,773.0,3.25,803.0,2.29,True,True,True,
2023,1514,電機機械,635.0,599020.0,943.0,809.0,3.08,803.0,2.29,True,True,True,
2023,1515,電機機械,622.0,325789.0,524.0,434.0,1.7,803.0,2.29,True,True,True,112年薪資較低是產線人數比111年增加，造成整體平均薪資減少。
2023,1516,其他,3.0,2909.0,970.0,862.0,0.34,909.0,2.71,True,True,True,
2023,1517,電機機械,588.0,232389.0,395.0,345.0,-0.75,803.0,2.29,True,True,True,本公司112年度因自行車產業市場需求變化，營業收入較前一年度大幅減少，因應產業調整消化庫存，產能需求降低，減少加班費用，致影響112年度員工薪資平均數及中位數較前一年度降低。
2023,1519,電機機械,780.0,1205543.0,1546.0,1113.0,9.87,803.0,2.29,True,True,True,
2023,1521,汽車工業,788.0,505559.0,642.0,585.0,0.56,882.0,6.4,True,True,True,
2023,1522,汽車工業,1534.0,947998.0,618.0,562.0,3.31,882.0,6.4,True,True,True,
2023,1524,汽車工業,395.0,250153.0,633.0,545.0,2.13,882.0,6.4,True,True,True,
2023,1525,汽車工業,300.0,193198.0,644.0,589.0,5.5,882.0,6.4,True,True,True,
2023,1526,電機機械,158.0,85934.0,544.0,401.0,0.76,803.0,2.29,True,True,True,
2023,1527,電機機械,651.0,375217.0,576.0,471.0,2.67,803.0,2.29,True,True,True,員工薪酬乃依照本公司訂定薪資管理辦法發放，並於公司章程內訂有員工酬勞提撥方式；且配發金額需要經過本公司薪資委員會審議後始得發放。
2023,1528,電機機械,181.0,128428.0,710.0,608.0,-0.08,803.0,2.29,True,True,True,
2023,1529,電機機械,60.0,29038.0,484.0,461.0,0.91,803.0,2.29,True,True,True,"本公司112年度因應台電標案訂單增加,增聘基層員工,惟其年資多數為半年以上至一年之區間,致影響薪資之平均數。"
2023,1530,電機機械,377.0,244796.0,649.0,608.0,2.18,803.0,2.29,True,True,True,
2023,1531,電機機械,166.0,124093.0,748.0,687.0,0.08,803.0,2.29,True,True,True,
2023,1532,電機機械,311.0,240996.0,775.0,610.0,2.56,803.0,2.29,True,True,True,1.外籍員工佔總人數約41%，其薪資水準較低，影響整體薪資平均數。2.本公司逐漸轉型為控股公司，此次調查僅針對台灣員工，但公司國內外轉投資子公司之獲利等因素均會影響EPS高低，非所有獲利均由台灣母公司所創造。
