"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"B9101742","立安東化工股份有限公司台中廠",20939460,"臺中市梧棲區草湳里南堤路二段９９號",24.2613362,120.4966377
"B9102141","達興材料股份有限公司中港廠",28357108,"臺中市梧棲區草湳里中港加工出口區建八路２號",24.2422046,120.5175294
"B9103997","光宇材料股份有限公司",54595817,"臺中市梧棲區永安里自立路３９號",24.2279749,120.5207652
"B9107226","宏全國際股份有限公司港加段19-1等2筆地號機房新建工程(雜項)",58176511,"臺中市梧棲區港加段１９之１等２筆地號",24.2490793,120.5386546
"B9107351","宏全國際股份有限公司無菌三廠",58176511,"臺中市梧棲區緯六路２號",24.2431839,120.5163385
"B9200124","友達晶材股份有限公司后里廠",24410807,"臺中市后里區后科路二段３３５號",24.3200959,120.7290279
"B9202404","友達晶材股份有限公司",24410807,"臺中市后里區后科路二段３３５號",24.3200959,120.7290279
"B9500156","台灣昕陽有限公司",24373042,"臺中市大雅區四德村中清路一段７８號",24.1530104,120.6774726
"B9501153","聯亞科技股份有限公司中科聯豐工廠",22099456,"臺中市大雅區科雅二路６之１號",24.2146431,120.623373
"B9800277","智邦材料股份有限公司",53272894,"臺中市外埔區三崁里二崁路１１０號",24.3250351,120.653448
"B9800795","良欣氣體股份有限公司",25183300,"臺中市外埔區水美里二崁路５８８巷２２號",24.3270872,120.631203
"C1104182","頌琦工業有限公司",86596330,"基隆市七堵區工建北路９之１號",25.0862225,121.70423
"D0300138","住華科技股份有限公司南科二廠",70848177,"臺南市新市區環西路一段３號(FAB７ １樓A、C區及３樓B區及T０C FAB_５FA區、SUP ２F_B、C區、SUP １F_D區)",23.0901596,120.2774192
"D0302338","江盈先進材料股份有限公司",54566334,"臺南市新市區港墘里國際路１５號５樓之１",23.0793296,120.297359
"D0302365","沛科精密股份有限公司",27683359,"臺南市新市區豐華里南科三路１１號１樓",23.0986449,120.2835107
"D0302794","博謙生技股份有限公司",54574685,"臺南市新市區環東路一段３１巷２號(２樓、４樓、５樓)、６號(２樓、４樓、５樓)、８號(２樓、４樓、５樓)、１０號(４樓、５樓)",23.0976689,120.2850917
"D0303415","博謙生技股份有限公司",54574685,"臺南市新市區環東路一段３１巷２號５樓",23.0976689,120.2850917
"D0305179","博謙生技股份有限公司二廠",54574685,"臺南市新市區新科段１３７地號",23.0780281,120.2919179
"D0305473","聯亞科技股份有限公司-TSMC F18-氫/氮氣地下管工程(樹谷-南科九路土木工程)-嘉標",22099456,"臺南市新市區新晶段５１地號",23.0780281,120.2919179
"D0306069","聯亞科技股份有限公司樹谷工廠",22099456,"臺南市新市區新晶段５１地號",23.0780281,120.2919179
"D0400473","金水化學有限公司",53176105,"臺南市安定區安加里安定２５８之１１號",23.1102654,120.2365575
"D1000959","祥金實業有限公司",22964247,"臺南市仁德區新田里勝利路２６９號",22.9542858,120.2681169
"D1002873","宏昌實業廠",13717386,"臺南市仁德區大甲里中正西路１０７３巷１５號",22.9224216,120.2001904
"D1003423","奇美實業股份有限公司",68387705,"臺南市仁德區上崙里中正路一段５２８號",22.932606,120.2464391
"D1008937","心勝實業股份有限公司",42913014,"臺南市仁德區興安段８８６地號",22.9472553,120.2511778
"D1009667","代順企業有限公司",89381565,"臺南市仁德區保安里開發三路５號",22.92189,120.2455489
"D1101013","三星科技股份有限公司",68040606,"臺南市歸仁區中山路三段３５５之６號１樓",22.9682873,120.2790415
"D1101639","三星科技股份有限公司南興六?",68040606,"臺南市歸仁區南興里中山十一街３３號",22.9679187,120.2764665
"D1101835","三星科技股份有限公司南興五廠",68040606,"臺南市歸仁區南興里中山路三段３５５之５號",22.9682873,120.2790415
"D1104603","南寶樹脂化學工廠股份有限公司歸仁廠",74229304,"臺南市歸仁區歸仁北段１３３４之２地號",22.9701826,120.2959658
"D1200922","天耀企業社",10846132,"臺南市關廟區埤頭里保東二街１８８號",23.0008811,120.3053804
"D1401447","塑城有限公司",53490630,"臺南市永康區三民里和平東路１１７號",23.0551505,120.2655781
"D1401483","協承昌股份有限公司永康參廠",16326209,"臺南市永康區王行里經中路１６號",23.0473959,120.2706226
"D1403487","一德科技有限公司永科廠",53151569,"臺南市永康區王行里永科七路８號",23.0387195,120.2833697
"D1403496","一心實業廠有限公司永科廠",86978822,"臺南市永康區王行里永科七路１０號",23.0386868,120.2832593
"D1413241","仁鴻資源再生有限公司",24492981,"臺南市永康區?洲里鹽行路２４７號B棟",23.0406517,120.230726
"D1414917","憲成壓克粒股份有限公司",22398285,"臺南市永康區東橋里中正路２７９巷２１弄３０號",23.0296372,120.24373
"D1417454","創想生物科技有限公司",24963125,"臺南市永康區環工路４７號",23.043243,120.270502
"D2806393","良美壓克力股份有限公司",86621149,"臺南市南區彰南里新樂路１６號",22.978164,120.177246
"D28A0616","奇美實業股份有限公司",68387705,"臺南市南區鯤鯓里新港路３７５號",22.9699857,120.1736625
