公司名稱,統一編號,RegistrationNo,FacilityName
台灣中油股份有限公司石化事業部,03707901,Q7301288,台灣中油股份有限公司-東石漁船加油站
台灣中油股份有限公司石化事業部,03707901,B2300247,台灣中油股份有限公司油品行銷事業部台中營業處台中工業區加油加氣站
台灣中油股份有限公司石化事業部,03707901,V7900017,台灣中油股份有限公司-大武加油站
台灣中油股份有限公司石化事業部,03707901,L9402179,台灣中油股份有限公司-潭子中山路加油站
台灣中油股份有限公司石化事業部,03707901,K6805489,台灣中油股份有限公司中苗加油站
台灣中油股份有限公司石化事業部,03707901,A4400470,台灣中油股份有限公司-北投加油站
台灣中油股份有限公司石化事業部,03707901,A3900695,台灣中油股份有限公司-建國北路加油站
台灣中油股份有限公司石化事業部,03707901,L91A0867,台灣中油股份有限公司天然氣事業部台中液化天然氣廠
台灣中油股份有限公司石化事業部,03707901,Q7804373,台灣中油股份有限公司-大義路加油站
台灣中油股份有限公司石化事業部,03707901,B2200171,台灣中油股份有限公司公園路加油站
台灣中油股份有限公司石化事業部,03707901,N1300012,台灣中油股份有限公司(田中加油站)
台灣中油股份有限公司石化事業部,03707901,S3201069,台灣中油股份有限公司本洲加油站
台灣中油股份有限公司石化事業部,03707901,Q7700272,台灣中油股份有限公司-南靖加油站
台灣中油股份有限公司石化事業部,03707901,D2900038,台灣中油股份有限公司油品行銷事業部台南營業處民生路加油站
台灣中油股份有限公司石化事業部,03707901,A3900711,台灣中油股份有限公司-吉林路加油站
台灣中油股份有限公司石化事業部,03707901,K8100012,台灣中油股份有限公司西湖加油站
台灣中油股份有限公司石化事業部,03707901,Q7700281,台灣中油股份有限公司柳林加油站
台灣中油股份有限公司石化事業部,03707901,L9400362,台灣中油股份有限公司-豐潭加油站
台灣中油股份有限公司石化事業部,03707901,G3200090,台灣中油股份有限公司(蘇澳加油站)
台灣中油股份有限公司石化事業部,03707901,L9900107,台灣中油股份有限公司台中營業處大安加油站
台灣中油股份有限公司石化事業部,03707901,O17M3886,台灣中油股份有限公司(香山加油站)採土壤離場
台灣中油股份有限公司石化事業部,03707901,E4900333,台灣中油股份有限公司煉製事業部高雄煉油廠
台灣中油股份有限公司石化事業部,03707901,U0100034,台灣中油股份有限公司油品行銷事業部東區營業處太魯閣加油站
台灣中油股份有限公司石化事業部,03707901,R9200018,台灣中油股份有限公司
台灣中油股份有限公司石化事業部,03707901,E5400154,台灣中油股份有限公司瑞豐加油站
台灣中油股份有限公司石化事業部,03707901,A4400461,台灣中油股份有限公司-百齡四路加油站
台灣中油股份有限公司石化事業部,03707901,I2609055,台灣中油股份有限公司煉製研究所
台灣中油股份有限公司石化事業部,03707901,N1700030,台灣中油股份有限公司(福興加油站)
台灣中油股份有限公司石化事業部,03707901,R9700095,台灣中油股份有限公司油品行銷事業部台南營業處隆田加油站
台灣中油股份有限公司石化事業部,03707901,V7700017,台灣中油股份有限公司-關山加油站
台灣中油股份有限公司石化事業部,03707901,E56B3711,台灣中油股份有限公司興建工程處-大林石化油品儲運中心之大林廠外區域外管線統包工程
台灣中油股份有限公司石化事業部,03707901,D2800355,台灣中油股份有限公司油品行銷事業部台南營業處灣裡加油站
台灣中油股份有限公司石化事業部,03707901,A3900720,台灣中油股份有限公司-新生北路加油站
台灣中油股份有限公司石化事業部,03707901,R9100095,台灣中油股份有限公司油品行銷事業部台南營業處學甲中正路加油站
台灣中油股份有限公司石化事業部,03707901,H53B4228,台灣中油股份有限公司液化天氣工程處-第三座液化天然氣接收站棧橋新建工程
台灣中油股份有限公司石化事業部,03707901,D3303935,台灣中油股份有限公司油品行銷事業部台南營業處育平路加油站
台灣中油股份有限公司石化事業部,03707901,K6800046,台灣中油股份有限公司北苗加油站
台灣中油股份有限公司石化事業部,03707901,Q6803096,台灣中油股份有限公司-明華加油站
台灣中油股份有限公司石化事業部,03707901,L9500018,台灣中油股份有限公司-大雅中清路加油站
台灣中油股份有限公司石化事業部,03707901,T4500028,台灣中油股份有限公司恆春加油站
台灣中油股份有限公司石化事業部,03707901,D2700261,台灣中油股份有限公司油品行銷事業部台南營業處中華路西加油站
台灣中油股份有限公司石化事業部,03707901,L0300307,台灣中油股份有限公司-霧峰加油站
台灣中油股份有限公司石化事業部,03707901,P6400047,台灣中油股份有限公司嘉義營業處(箔子寮漁港加油站)
台灣中油股份有限公司石化事業部,03707901,E4900011,台灣中油股份有限公司楠梓加油站
台灣中油股份有限公司石化事業部,03707901,P52A1160,台灣中油股份有限公司油品行銷事業部嘉南營業處古坑服務區加油站
台灣中油股份有限公司石化事業部,03707901,D3300014,台灣中油股份有限公司油品行銷事業部台南營業處慶平路加油站
台灣中油股份有限公司石化事業部,03707901,U9100021,台灣中油股份有限公司油品行銷事業部東區營業處中華路加油站
台灣中油股份有限公司石化事業部,03707901,T4700082,台灣中油股份有限公司長治加油站
台灣中油股份有限公司石化事業部,03707901,S3000080,台灣中油股份有限公司太爺加油站
台灣中油股份有限公司石化事業部,03707901,R8704704,台灣中油股份有限公司油品行銷事業部台南營業處麻學加油站
台灣中油股份有限公司石化事業部,03707901,K7000166,台灣中油股份有限公司通霄加油站
台灣中油股份有限公司石化事業部,03707901,N1109711,台灣中油股份有限公司油品行銷事業部台中營業處橋頭站加油站
台灣中油股份有限公司石化事業部,03707901,G3500031,台灣中油股份有限公司(大福加油站)
台灣中油股份有限公司石化事業部,03707901,K7800031,台灣中油股份有限公司南庄加油站
台灣中油股份有限公司石化事業部,03707901,K7700018,台灣中油股份有限公司銅鑼加油站
台灣中油股份有限公司石化事業部,03707901,Q8300016,台灣中油股份有限公司-中油阿里山加油站
台灣中油股份有限公司石化事業部,03707901,R1400061,台灣中油股份有限公司油品行銷事業部台南營業處永康加油站
台灣中油股份有限公司石化事業部,03707901,D2800346,台灣中油股份有限公司油品行銷事業部台南營業中華西路南加油站
台灣中油股份有限公司石化事業部,03707901,A4300868,台灣中油股份有限公司-陽明山加油站
台灣中油股份有限公司石化事業部,03707901,R8402554,台灣中油股份有限公司新營長榮路加油站
台灣中油股份有限公司石化事業部,03707901,H4600373,台灣中油股份有限公司-蘆竹加油站
