公司名稱,公司簡稱,股票代碼,統編,上市上櫃產業別,上市上櫃產業編碼,自訂產業別
大亞電線電纜股份有限公司,大亞,1609,68035907,電器電纜,06,電器電纜
中國電器股份有限公司,中電,1611,03086001,電器電纜,06,電器電纜
宏泰電工股份有限公司,宏泰,1612,43125162,電器電纜,06,電器電纜
台一國際股份有限公司,台一,1613,34284955,電器電纜,06,電器電纜
台灣三洋電機股份有限公司,三洋電,1614,03564501,電器電纜,06,電器電纜
大山電線電纜股份有限公司,大山,1615,64829434,電器電纜,06,電器電纜
億泰電線電纜股份有限公司,億泰,1616,22819700,電器電纜,06,電器電纜
榮星電線工業股份有限公司,榮星,1617,73341336,電器電纜,06,電器電纜
合機電線電纜股份有限公司,合機,1618,23206102,電器電纜,06,電器電纜
大展電線電纜股份有限公司,大展電線,1619,05024240,電器電纜,06,電器電纜
艾美特(開曼)國際有限公司,艾美特-KY,1626,34995738,電器電纜,06,電器電纜
風青實業股份有限公司,風青,2061,89260422,電器電纜,06,電器電纜
唐鋒實業股份有限公司,唐鋒,4609,34097236,電器電纜,06,電器電纜
燦星網通股份有限公司,燦星網,4930,28986660,電器電纜,06,電器電纜
禾聯碩股份有限公司,禾聯碩,5283,80333058,電器電纜,06,電器電纜
台灣玻璃工業股份有限公司,台玻,1802,11914002,玻璃陶瓷,08,玻璃陶瓷
冠軍建材股份有限公司,冠軍,1806,49701774,玻璃陶瓷,08,玻璃陶瓷
中國製釉股份有限公司,中釉,1809,47056834,玻璃陶瓷,08,玻璃陶瓷
和成欣業股份有限公司,和成,1810,03228304,玻璃陶瓷,08,玻璃陶瓷
凱撒衛浴股份有限公司,凱撒衛,1817,22746550,玻璃陶瓷,08,玻璃陶瓷
士林紙業股份有限公司,士紙,1903,11038101,造紙工業,09,造紙工業
正隆股份有限公司,正隆,1904,33085508,造紙工業,09,造紙工業
中華紙漿股份有限公司,華紙,1905,94025264,造紙工業,09,造紙工業
寶隆國際股份有限公司,寶隆,1906,12030606,造紙工業,09,造紙工業
永豐餘投資控股股份有限公司,永豐餘,1907,85066002,造紙工業,09,造紙工業
榮成紙業股份有限公司,榮成,1909,34202841,造紙工業,09,造紙工業
永豐餘消費品實業股份有限公司,永豐實,6790,22327037,造紙工業,09,造紙工業
中國鋼鐵股份有限公司,中鋼,2002,30414175,鋼鐵工業,10,鋼鐵工業
東和鋼鐵企業股份有限公司,東和鋼鐵,2006,75280209,鋼鐵工業,10,鋼鐵工業
燁興企業股份有限公司,燁興,2007,75992214,鋼鐵工業,10,鋼鐵工業
高興昌鋼鐵股份有限公司,高興昌,2008,75466009,鋼鐵工業,10,鋼鐵工業
第一伸銅科技股份有限公司,第一銅,2009,82001528,鋼鐵工業,10,鋼鐵工業
春源鋼鐵工業股份有限公司,春源,2010,11529802,鋼鐵工業,10,鋼鐵工業
春雨工廠股份有限公司,春雨,2012,88187108,鋼鐵工業,10,鋼鐵工業
中國鋼鐵結構股份有限公司,中鋼構,2013,85800192,鋼鐵工業,10,鋼鐵工業
中鴻鋼鐵股份有限公司,中鴻,2014,07838854,鋼鐵工業,10,鋼鐵工業
豐興鋼鐵股份有限公司,豐興,2015,55389357,鋼鐵工業,10,鋼鐵工業
官田鋼鐵股份有限公司,官田鋼,2017,72065240,鋼鐵工業,10,鋼鐵工業
